"word","mapped","confidence","library","target","matched_term","source_kind","source_file"
"abulic","no","","","","","",""
"abuna","no","","","","","",""
"abunas","no","","","","","",""
"abundance","no","","","","","",""
"abundances","no","","","","","",""
"abundancies","no","","","","","",""
"abundancy","no","","","","","",""
"abundant","no","","","","","",""
"abundantly","no","","","","","",""
"abune","no","","","","","",""
"aburst","no","","","","","",""
"abusable","no","","","","","",""
"abusage","no","","","","","",""
"abusages","no","","","","","",""
"abuse","yes","phrase-token","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abused","yes","stem-prefix-candidate","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abuser","yes","stem-prefix-candidate","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abusers","yes","stem-prefix-candidate","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abuses","yes","stem-prefix-candidate","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abusing","no","","","","","",""
"abusion","no","","","","","",""
"abusions","no","","","","","",""
"abusive","no","","","","","",""
"abusively","no","","","","","",""
"abusiveness","no","","","","","",""
"abusivenesses","no","","","","","",""
"abut","no","","","","","",""
"abutilon","no","","","","","",""
"abutilons","no","","","","","",""
"abutment","no","","","","","",""
"abutments","no","","","","","",""
"abuts","no","","","","","",""
"abuttal","no","","","","","",""
"abuttals","no","","","","","",""
"abutted","no","","","","","",""
"abutter","no","","","","","",""
"abutters","no","","","","","",""
"abutting","no","","","","","",""
"abuzz","no","","","","","",""
"abvolt","no","","","","","",""
"abvolts","no","","","","","",""
"abwatt","no","","","","","",""
"abwatts","no","","","","","",""
"aby","no","","","","","",""
"abye","no","","","","","",""
"abyeing","no","","","","","",""
"abyes","no","","","","","",""
"abying","no","","","","","",""
"abys","no","","","","","",""
"abysm","no","","","","","",""
"abysmal","no","","","","","",""
"abysmally","no","","","","","",""
"abysms","no","","","","","",""
"abyss","no","","","","","",""
"abyssal","no","","","","","",""
"abysses","no","","","","","",""
"abyssopelagic","no","","","","","",""
"acacia","no","","","","","",""
"acacias","no","","","","","",""
"academe","no","","","","","",""
"academes","no","","","","","",""
"academia","no","","","","","",""
"academias","no","","","","","",""
"academic","yes","phrase-token","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academical","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academicalism","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academicalisms","no","","","","","",""
"academically","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
